'Elapsed time','ECG I','ECG I filtered'
'seconds','mV','mV'
0.000,0.040,0.055
0.002,-0.120,-0.015
0.004,-0.290,-0.055
0.006,-0.185,-0.085
0.008,-0.120,-0.095
0.010,-0.115,-0.080
0.012,0.000,-0.055
0.014,-0.015,-0.025
0.016,0.140,-0.005
0.018,0.095,0.005
0.020,0.020,0.000
0.022,-0.115,-0.020
0.024,-0.305,-0.040
0.026,-0.170,-0.060
0.028,-0.140,-0.070
0.030,-0.045,-0.065
0.032,0.015,-0.055
0.034,0.025,-0.035
0.036,0.145,-0.015
0.038,0.115,-0.005
0.040,0.025,0.000
0.042,-0.120,-0.005
0.044,-0.300,-0.010
0.046,-0.120,-0.020
0.048,-0.100,-0.030
0.050,-0.015,-0.030
0.052,0.005,-0.025
0.054,0.040,-0.015
0.056,0.190,-0.010
0.058,0.150,-0.005
0.060,0.035,-0.005
0.062,-0.165,-0.015
0.064,-0.320,-0.025
0.066,-0.170,-0.040
0.068,-0.100,-0.050
0.070,-0.120,-0.055
0.072,0.065,-0.055
0.074,0.035,-0.045
0.076,0.190,-0.035
0.078,0.150,-0.025
0.080,-0.020,-0.015
0.082,-0.200,-0.010
0.084,-0.275,-0.010
0.086,-0.100,-0.015
0.088,-0.145,-0.025
0.090,-0.070,-0.035
0.092,-0.005,-0.040
0.094,0.030,-0.045
0.096,0.180,-0.050
0.098,0.095,-0.050
0.100,0.025,-0.045
0.102,-0.225,-0.045
0.104,-0.330,-0.040
0.106,-0.110,-0.040
0.108,-0.110,-0.035
0.110,-0.085,-0.030
0.112,-0.010,-0.030
0.114,0.025,-0.025
0.116,0.195,-0.025
0.118,0.115,-0.025
0.120,0.000,-0.030
0.122,-0.195,-0.030
0.124,-0.280,-0.035
0.126,-0.115,-0.035
0.128,-0.100,-0.040
0.130,-0.085,-0.040
0.132,-0.010,-0.045
0.134,-0.005,-0.045
0.136,0.100,-0.050
0.138,0.115,-0.055
0.140,0.030,-0.055
0.142,-0.180,-0.060
0.144,-0.210,-0.060
0.146,-0.185,-0.060
0.148,-0.150,-0.055
0.150,-0.090,-0.050
0.152,-0.025,-0.050
0.154,0.070,-0.045
0.156,0.200,-0.050
0.158,0.060,-0.055
0.160,-0.045,-0.060
0.162,-0.260,-0.070
0.164,-0.220,-0.075
0.166,-0.190,-0.075
0.168,-0.105,-0.070
0.170,-0.010,-0.060
0.172,-0.005,-0.050
0.174,0.025,-0.040
0.176,0.155,-0.035
0.178,0.090,-0.040
0.180,0.010,-0.050
0.182,-0.295,-0.060
0.184,-0.220,-0.080
0.186,-0.210,-0.090
0.188,-0.125,-0.095
0.190,-0.090,-0.095
0.192,0.000,-0.080
0.194,0.040,-0.065
0.196,0.200,-0.040
0.198,0.085,-0.025
0.200,-0.010,-0.010
0.202,-0.260,-0.010
0.204,-0.175,-0.020
0.206,-0.100,-0.035
0.208,-0.095,-0.055
0.210,-0.075,-0.070
0.212,0.010,-0.080
0.214,0.100,-0.080
0.216,0.160,-0.070
0.218,0.030,-0.050
0.220,-0.105,-0.035
0.222,-0.295,-0.020
0.224,-0.105,-0.010
0.226,-0.085,-0.010
0.228,-0.125,-0.020
0.230,0.045,-0.035
0.232,0.030,-0.050
0.234,0.105,-0.060
0.236,0.130,-0.060
0.238,0.080,-0.055
0.240,-0.010,-0.045
0.242,-0.255,-0.025
0.244,-0.145,-0.005
0.246,-0.085,0.005
0.248,-0.040,0.015
0.250,0.040,0.010
0.252,0.010,0.005
0.254,0.175,-0.010
0.256,0.205,-0.025
0.258,0.075,-0.035
0.260,-0.090,-0.040
0.262,-0.265,-0.040
0.264,-0.125,-0.040
0.266,-0.125,-0.035
0.268,-0.115,-0.030
0.270,0.000,-0.025
0.272,0.080,-0.025
0.274,0.170,-0.030
0.276,0.135,-0.030
0.278,0.055,-0.030
0.280,-0.085,-0.030
0.282,-0.310,-0.025
0.284,-0.115,-0.015
0.286,-0.065,-0.010
0.288,-0.030,-0.005
0.290,0.040,0.000
0.292,0.055,0.000
0.294,0.205,0.000
0.296,0.175,-0.005
0.298,0.060,-0.010
0.300,-0.095,-0.015
0.302,-0.290,-0.015
0.304,-0.115,-0.015
0.306,-0.115,-0.010
0.308,0.000,-0.005
0.310,0.035,0.000
0.312,0.125,0.010
0.314,0.265,0.020
0.316,0.195,0.025
0.318,0.045,0.035
0.320,-0.060,0.040
0.322,-0.190,0.045
0.324,0.000,0.050
0.326,-0.015,0.050
0.328,0.000,0.045
0.330,0.070,0.045
0.332,0.125,0.040
0.334,0.235,0.035
0.336,0.200,0.030
0.338,0.090,0.030
0.340,-0.085,0.030
0.342,-0.240,0.035
0.344,-0.030,0.045
0.346,0.060,0.050
0.348,0.045,0.055
0.350,0.075,0.065
0.352,0.165,0.070
0.354,0.350,0.080
0.356,0.265,0.085
0.358,0.115,0.090
0.360,-0.025,0.100
0.362,-0.165,0.105
0.364,0.030,0.105
0.366,0.025,0.105
0.368,0.070,0.100
0.370,0.195,0.095
0.372,0.170,0.090
0.374,0.310,0.080
0.376,0.225,0.075
0.378,0.120,0.070
0.380,-0.050,0.070
0.382,-0.190,0.070
0.384,0.015,0.075
0.386,0.020,0.075
0.388,0.030,0.075
0.390,0.095,0.070
0.392,0.145,0.065
0.394,0.345,0.050
0.396,0.205,0.040
0.398,0.085,0.030
0.400,-0.140,0.015
0.402,-0.165,0.005
0.404,-0.070,0.000
0.406,-0.125,-0.005
0.408,0.010,-0.005
0.410,0.100,-0.010
0.412,0.065,-0.010
0.414,0.230,-0.015
0.416,0.115,-0.020
0.418,0.030,-0.025
0.420,-0.150,-0.030
0.422,-0.165,-0.035
0.424,-0.110,-0.040
0.426,-0.120,-0.045
0.428,-0.100,-0.045
0.430,0.040,-0.050
0.432,0.060,-0.050
0.434,0.175,-0.045
0.436,0.145,-0.040
0.438,0.060,-0.035
0.440,-0.195,-0.030
0.442,-0.180,-0.025
0.444,-0.125,-0.025
0.446,-0.050,-0.025
0.448,-0.010,-0.030
0.450,0.025,-0.040
0.452,0.050,-0.050
0.454,0.195,-0.065
0.456,0.025,-0.085
0.458,-0.095,-0.105
0.460,-0.325,-0.125
0.462,-0.270,-0.140
0.464,-0.210,-0.160
0.466,-0.195,-0.170
0.468,-0.190,-0.165
0.470,-0.065,-0.150
0.472,0.045,-0.115
0.474,0.165,-0.055
0.476,0.125,0.030
0.478,0.155,0.135
0.480,0.055,0.260
0.482,0.270,0.395
0.484,0.520,0.535
0.486,0.660,0.670
0.488,0.870,0.780
0.490,1.020,0.870
0.492,1.140,0.930
0.494,1.230,0.955
0.496,1.065,0.940
0.498,0.970,0.900
0.500,0.650,0.825
0.502,0.635,0.730
0.504,0.540,0.620
0.506,0.430,0.505
0.508,0.375,0.380
0.510,0.340,0.265
0.512,0.275,0.160
0.514,0.245,0.075
0.516,0.090,0.000
0.518,-0.065,-0.055
0.520,-0.295,-0.095
0.522,-0.215,-0.120
0.524,-0.215,-0.140
0.526,-0.225,-0.150
0.528,-0.155,-0.160
0.530,-0.095,-0.165
0.532,0.020,-0.165
0.534,0.075,-0.160
0.536,-0.030,-0.155
0.538,-0.175,-0.140
0.540,-0.345,-0.120
0.542,-0.180,-0.105
0.544,-0.115,-0.085
0.546,-0.055,-0.070
0.548,-0.020,-0.060
0.550,0.015,-0.055
0.552,0.120,-0.060
0.554,0.150,-0.065
0.556,0.050,-0.070
0.558,-0.105,-0.070
0.560,-0.305,-0.075
0.562,-0.125,-0.070
0.564,-0.115,-0.070
0.566,-0.135,-0.065
0.568,0.030,-0.060
0.570,0.070,-0.060
0.572,0.085,-0.060
0.574,0.155,-0.065
0.576,0.010,-0.070
0.578,-0.130,-0.070
0.580,-0.305,-0.070
0.582,-0.145,-0.070
0.584,-0.075,-0.065
0.586,-0.085,-0.060
0.588,-0.015,-0.055
0.590,0.035,-0.050
0.592,0.180,-0.045
0.594,0.145,-0.040
0.596,0.035,-0.035
0.598,-0.105,-0.035
0.600,-0.280,-0.040
0.602,-0.110,-0.040
0.604,-0.075,-0.045
0.606,-0.040,-0.055
0.608,0.070,-0.060
0.610,0.040,-0.060
0.612,0.145,-0.060
0.614,0.135,-0.055
0.616,0.075,-0.045
0.618,-0.115,-0.030
0.620,-0.220,-0.015
0.622,-0.070,-0.005
0.624,-0.075,0.005
0.626,-0.035,0.010
0.628,0.065,0.010
0.630,0.110,0.005
0.632,0.265,0.000
0.634,0.180,-0.005
0.636,0.065,-0.010
0.638,-0.090,-0.005
0.640,-0.235,0.000
0.642,-0.035,0.005
0.644,-0.085,0.015
0.646,-0.015,0.020
0.648,0.080,0.025
0.650,0.165,0.025
0.652,0.255,0.020
0.654,0.190,0.020
0.656,0.115,0.015
0.658,-0.045,0.015
0.660,-0.225,0.015
0.662,-0.075,0.020
0.664,-0.015,0.030
0.666,0.050,0.035
0.668,0.140,0.045
0.670,0.155,0.050
0.672,0.285,0.055
0.674,0.240,0.060
0.676,0.120,0.065
0.678,-0.035,0.070
0.680,-0.130,0.070
0.682,0.005,0.080
0.684,0.060,0.085
0.686,0.120,0.090
0.688,0.160,0.090
0.690,0.195,0.095
0.692,0.330,0.100
0.694,0.325,0.105
0.696,0.195,0.110
0.698,-0.020,0.120
0.700,-0.040,0.130
0.702,0.130,0.140
0.704,0.090,0.150
0.706,0.150,0.160
0.708,0.240,0.170
0.710,0.220,0.170
0.712,0.445,0.170
0.714,0.340,0.170
0.716,0.265,0.170
0.718,0.035,0.165
0.720,0.015,0.170
0.722,0.125,0.175
0.724,0.195,0.180
0.726,0.215,0.190
0.728,0.255,0.200
0.730,0.320,0.210
0.732,0.495,0.215
0.734,0.370,0.225
0.736,0.265,0.230
0.738,0.095,0.235
0.740,0.125,0.240
0.742,0.210,0.240
0.744,0.215,0.240
0.746,0.250,0.240
0.748,0.315,0.235
0.750,0.335,0.230
0.752,0.455,0.220
0.754,0.350,0.210
0.756,0.265,0.195
0.758,0.015,0.185
0.760,0.060,0.170
0.762,0.165,0.155
0.764,0.130,0.145
0.766,0.120,0.135
0.768,0.210,0.120
0.770,0.285,0.110
0.772,0.360,0.100
0.774,0.225,0.090
0.776,0.170,0.080
0.778,-0.045,0.075
0.780,-0.040,0.065
0.782,-0.010,0.060
0.784,-0.020,0.050
0.786,0.105,0.045
0.788,0.145,0.040
0.790,0.215,0.035
0.792,0.295,0.030
0.794,0.175,0.025
0.796,0.100,0.020
0.798,-0.150,0.020
0.800,-0.080,0.015
0.802,-0.050,0.015
0.804,-0.020,0.010
0.806,0.080,0.010
0.808,0.115,0.005
0.810,0.140,0.005
0.812,0.215,0.000
0.814,0.145,-0.005
0.816,0.040,-0.010
0.818,-0.230,-0.015
0.820,-0.095,-0.020
0.822,-0.030,-0.020
0.824,-0.060,-0.025
0.826,0.015,-0.030
0.828,0.060,-0.035
0.830,0.140,-0.035
0.832,0.210,-0.035
0.834,0.035,-0.035
0.836,0.075,-0.030
0.838,-0.150,-0.025
0.840,-0.085,-0.015
0.842,-0.065,-0.005
0.844,-0.015,0.005
0.846,0.040,0.010
0.848,0.065,0.005
0.850,0.230,-0.005
0.852,0.210,-0.015
0.854,0.090,-0.030
0.856,-0.065,-0.050
0.858,-0.250,-0.060
0.860,-0.145,-0.065
0.862,-0.070,-0.065
0.864,-0.075,-0.060
0.866,0.045,-0.045
0.868,0.070,-0.035
0.870,0.215,-0.025
0.872,0.240,-0.015
0.874,0.105,-0.010
0.876,-0.060,-0.010
0.878,-0.250,-0.015
0.880,-0.065,-0.015
0.882,-0.030,-0.020
0.884,-0.005,-0.020
0.886,0.090,-0.020
0.888,0.110,-0.015
0.890,0.240,-0.010
0.892,0.205,-0.005
0.894,0.090,0.000
0.896,-0.090,0.000
0.898,-0.205,0.000
0.900,-0.080,-0.005
0.902,0.000,-0.005
0.904,0.020,-0.010
0.906,0.090,-0.010
0.908,0.130,-0.015
0.910,0.225,-0.010
0.912,0.230,-0.010
0.914,0.085,-0.005
0.916,-0.135,0.005
0.918,-0.150,0.010
0.920,0.020,0.010
0.922,-0.030,0.010
0.924,0.030,0.010
0.926,0.095,0.005
0.928,0.135,0.000
0.930,0.215,-0.005
0.932,0.175,-0.010
0.934,0.025,-0.015
0.936,-0.050,-0.015
0.938,-0.155,-0.015
0.940,-0.040,-0.015
0.942,-0.045,-0.010
0.944,0.070,-0.005
0.946,0.110,-0.005
0.948,0.060,-0.005
0.950,0.220,-0.010
0.952,0.160,-0.015
0.954,0.075,-0.025
0.956,-0.105,-0.025
0.958,-0.235,-0.030
0.960,-0.070,-0.025
0.962,-0.025,-0.020
0.964,0.040,-0.015
0.966,0.080,-0.010
0.968,0.080,-0.005
0.970,0.265,-0.005
0.972,0.185,-0.005
0.974,0.050,-0.005
0.976,-0.080,-0.010
0.978,-0.195,-0.010
0.980,-0.030,-0.010
0.982,-0.020,-0.010
0.984,0.050,-0.010
0.986,0.070,-0.010
0.988,0.075,-0.015
0.990,0.220,-0.025
0.992,0.155,-0.035
0.994,0.035,-0.050
0.996,-0.140,-0.060
0.998,-0.180,-0.070
1.000,-0.110,-0.075
1.002,-0.085,-0.070
1.004,-0.020,-0.065
1.006,0.040,-0.055
1.008,0.040,-0.050
1.010,0.175,-0.045
1.012,0.130,-0.045
1.014,0.040,-0.055
1.016,-0.155,-0.065
1.018,-0.170,-0.075
1.020,-0.040,-0.085
1.022,-0.105,-0.090
1.024,-0.040,-0.085
1.026,0.045,-0.080
1.028,0.035,-0.075
1.030,0.190,-0.070
1.032,0.100,-0.070
1.034,-0.025,-0.075
1.036,-0.190,-0.080
1.038,-0.165,-0.090
1.040,-0.100,-0.090
1.042,-0.095,-0.090
1.044,-0.040,-0.080
1.046,0.005,-0.070
1.048,0.055,-0.050
1.050,0.325,-0.035
1.052,0.150,-0.025
1.054,0.025,-0.025
1.056,-0.170,-0.035
1.058,-0.100,-0.050
1.060,-0.105,-0.070
1.062,-0.130,-0.090
1.064,-0.140,-0.100
1.066,0.070,-0.105
1.068,0.085,-0.100
1.070,0.150,-0.090
1.072,0.140,-0.075
1.074,0.050,-0.055
1.076,-0.170,-0.040
1.078,-0.115,-0.035
1.080,-0.115,-0.035
1.082,-0.025,-0.040
1.084,0.015,-0.045
1.086,0.055,-0.055
1.088,0.125,-0.060
1.090,0.250,-0.065
1.092,0.120,-0.060
1.094,0.015,-0.060
1.096,-0.245,-0.055
1.098,-0.140,-0.050
1.100,-0.075,-0.045
1.102,-0.030,-0.045
1.104,0.025,-0.045
1.106,0.095,-0.045
1.108,0.190,-0.045
1.110,0.220,-0.050
1.112,0.090,-0.055
1.114,-0.010,-0.055
1.116,-0.265,-0.060
1.118,-0.095,-0.060
1.120,-0.075,-0.065
1.122,-0.070,-0.075
1.124,0.045,-0.080
1.126,0.055,-0.085
1.128,0.170,-0.085
1.130,0.190,-0.085
1.132,0.035,-0.085
1.134,-0.055,-0.080
1.136,-0.255,-0.075
1.138,-0.090,-0.070
1.140,-0.050,-0.065
1.142,-0.060,-0.065
1.144,0.060,-0.065
1.146,0.075,-0.065
1.148,0.190,-0.065
1.150,0.195,-0.060
1.152,0.065,-0.060
1.154,0.000,-0.050
1.156,-0.215,-0.045
1.158,-0.095,-0.035
1.160,-0.010,-0.025
1.162,0.020,-0.020
1.164,0.100,-0.020
1.166,0.110,-0.020
1.168,0.210,-0.020
1.170,0.185,-0.020
1.172,0.095,-0.020
1.174,-0.030,-0.020
1.176,-0.190,-0.015
1.178,-0.010,-0.010
1.180,-0.025,-0.010
1.182,0.070,-0.010
1.184,0.120,-0.010
1.186,0.140,-0.010
1.188,0.230,-0.015
1.190,0.220,-0.010
1.192,0.110,-0.005
1.194,-0.040,0.005
1.196,-0.160,0.015
1.198,0.020,0.030
1.200,0.130,0.045
1.202,0.110,0.060
1.204,0.155,0.065
1.206,0.170,0.070
1.208,0.330,0.065
1.210,0.295,0.060
1.212,0.240,0.050
1.214,0.045,0.045
1.216,-0.150,0.045
1.218,0.005,0.045
1.220,0.060,0.050
1.222,0.140,0.060
1.224,0.195,0.065
1.226,0.210,0.065
1.228,0.315,0.065
